Норвегия голубой,822.OAC.930,44,395
Норвегия белый,822.OAC.091,44,395
Норвегия синий,822.OAC.940,44,395
Финляндия бежевый,822.OAC.513,51,425
Финляндия синий,818.ОАС.412,51,425
Финляндия серый,818.ОАС.712,51,425
Шпон Классика белый перламутр,548.М54.723,54,765
Шпон Классика серый,548.М54.945,54,765
Шпон Классика белое дерево,548.М54.730,54,765
Шпон Классика белый с кантом,548.М54.715,54,765
Шпон Модерн коричневый,477.М48.492,48,575
Шпон Модерн белый,477.М48.400,48,575
Катхульт коричневый,4701,47,395
Катхульт розовый,4704,47,395
Катхульт голубой,4702,47,395
Катхульт серый,4703,47,395
Кабинет дерево,508-07,49,370
Кабинет Классика дерево,532-07,49,345
Морёное Дерево,,59,550
Тикурилла серый,35006,35,295
Тикурилла белый,35003,35,295
Тикурилла черный,35002,35,295
Тикурилла сероголубой,35005,35,295
Тикурилла серокоричневый,35004,35,295
Тикурилла вишня,35001,35,295
Берген голубой,25504,25,265
Берген ольха,25505,25,265
Берген венге,25502,25,265
Берген хутор,25503,25,265
Лённеберга кофе,30205,30,285
Лённеберга розовый,30202,30,285
Лённеберга ольха,30204,30,285
Лённеберга голубой,30201,30,285
Лённеберга венге,30200,30,285
Лённеберга белый,30206,30,285
Рованиеми голубой,43301,43,535
Рованиеми бежевый,43305,43,535
Рованиеми розовый,43302,43,535
Рованиеми белый,43304,43,535
Рованиеми коричневый,43303,43,535
Смоланд тёмнорозовый,4613,46,415
Смоланд голубой,4616,46,415
Смоланд белый,4611,46,415
Смоланд сиреневый,4612,46,415
Смоланд зелёный,4615,46,415
Царское село белый,64045,64,895
Царское село коричневый,64043,64,895
Царское село бронза,64041,64,895
Царское село золото,64044,64,895
Заря голубой,70111,70,895
Заря зеленый,70103,70,895
Заря яркое золото,744.М70.110,70,895
Заря белый,70113,70,895
Заря укроп,70105,70,895
Белый шоколад,566.ОАС.224,70,765
Модерн червонное серебро теплое,865.ОАС.184,62,625
Модерн червонная бронза теплая,865.ОАС.211,62,625
Модерн червонное золото,865.ОАС.111,62,625
Оникс красный,56003,56,865
Оникс белый,56001,56,865
Париж розовый,35011,35,395
Париж коричневый,35013,35,395
Пориж серый,35012,35,395
Париж кремовый,35015,35,395
Париж белый,35014,35,395
Пекин розовый,40108,40,355
Пекин корея золотой,3069-С7,40,355
Пекин глянец,40105,40,355
Пекин синий,40107,40,355
Пекин белый,40103,40,355
Пекин зеленый,3069-С3,40,355
Обратный модерн венге,55051,55,525
Обратный модерн серо-голубой,55055,55,525
Геометрия черный,369.М33.,33,325
Шеометрия серебро,369.М33.285,33,325
Геометрия белый,369.М33.729,33,325
L геометрия металл,TGE 088-1464,53,695
L геометрия белый,TGE 088-1467,53,695
L геометрия черный,TGE 088-1466,53,695
Зимняя вишня,48011,48,475
Вьетнам серо-зеленый,4718-02-01,47,245
Слип бронза кант,1381-03,42,285
